50 	 0.00005271 	 4695.11641791 
100 	 0.00045760 	 4348.80683583 
150 	 0.00145013 	 4639.22860760 
200 	 0.00338180 	 4719.37930247 
250 	 0.00649989 	 4798.16069693 
300 	 0.01104772 	 4879.73949048 
350 	 0.01739492 	 4922.55667191 
400 	 0.02589879 	 4936.13787461 
450 	 0.03655136 	 4980.59493136 
500 	 0.04980562 	 5014.49461680 
600 	 0.08562472 	 5041.06765808 
700 	 0.13534467 	 5064.92046448 
800 	 0.20208781 	 5063.93736403 
900 	 0.28608792 	 5093.50415338 
1000 	 0.39184506 	 5101.50620015 
1100 	 0.52031057 	 5113.84961118 
1200 	 0.67829862 	 5092.97810202 
1300 	 0.85797930 	 113.45577250 
1400 	 1.07623041 	 1106.70790987 
1500 	 1.34639018 	 1821.74732708 
2000 	 4.04975359 	 1828.76938939 
2500 	 10.24187236 	 1373.17477937 
3000 	 23.38883977 	 1206.60949847 
3500 	 38.39024608 	 1114.55594604 
4000 	 80.64998779 	 788.09051680 
4500 	 66.13076959 	 1391.71882256 
5000 	 95.70028269 	 1310.55985298 
